datetime_from_local,datetime_to_local,value,parameter
2024-12-15T00:00:00+04:00,2024-12-16T00:00:00+04:00,11.3,pm25
2024-12-16T00:00:00+04:00,2024-12-17T00:00:00+04:00,20.8,pm25
2024-12-17T00:00:00+04:00,2024-12-18T00:00:00+04:00,22.8,pm25
2024-12-18T00:00:00+04:00,2024-12-19T00:00:00+04:00,18.9,pm25
2024-12-19T00:00:00+04:00,2024-12-20T00:00:00+04:00,11.6,pm25
2024-12-20T00:00:00+04:00,2024-12-21T00:00:00+04:00,19.7,pm25
2024-12-21T00:00:00+04:00,2024-12-22T00:00:00+04:00,30.4,pm25
2024-12-22T00:00:00+04:00,2024-12-23T00:00:00+04:00,36.5,pm25
2024-12-23T00:00:00+04:00,2024-12-24T00:00:00+04:00,50.1,pm25
2024-12-24T00:00:00+04:00,2024-12-25T00:00:00+04:00,51.6,pm25
2024-12-25T00:00:00+04:00,2024-12-26T00:00:00+04:00,44.2,pm25
2024-12-26T00:00:00+04:00,2024-12-27T00:00:00+04:00,47.4,pm25
2024-12-27T00:00:00+04:00,2024-12-28T00:00:00+04:00,36.4,pm25
2024-12-28T00:00:00+04:00,2024-12-29T00:00:00+04:00,30.5,pm25
2024-12-29T00:00:00+04:00,2024-12-30T00:00:00+04:00,17.3,pm25
2024-12-30T00:00:00+04:00,2024-12-31T00:00:00+04:00,19.8,pm25
2024-12-31T00:00:00+04:00,2025-01-01T00:00:00+04:00,24.5,pm25
2025-01-01T00:00:00+04:00,2025-01-02T00:00:00+04:00,12.7,pm25
2025-01-02T00:00:00+04:00,2025-01-03T00:00:00+04:00,17.4,pm25
2025-01-03T00:00:00+04:00,2025-01-04T00:00:00+04:00,28.3,pm25
2025-01-04T00:00:00+04:00,2025-01-05T00:00:00+04:00,33.1,pm25
2025-01-05T00:00:00+04:00,2025-01-06T00:00:00+04:00,33.8,pm25
2025-01-06T00:00:00+04:00,2025-01-07T00:00:00+04:00,33.6,pm25
2025-01-07T00:00:00+04:00,2025-01-08T00:00:00+04:00,33.6,pm25
2025-01-08T00:00:00+04:00,2025-01-09T00:00:00+04:00,35.6,pm25
2025-01-09T00:00:00+04:00,2025-01-10T00:00:00+04:00,33.7,pm25
2025-01-10T00:00:00+04:00,2025-01-11T00:00:00+04:00,29.6,pm25
2025-01-11T00:00:00+04:00,2025-01-12T00:00:00+04:00,23.7,pm25
2025-01-12T00:00:00+04:00,2025-01-13T00:00:00+04:00,23.7,pm25
2025-01-13T00:00:00+04:00,2025-01-14T00:00:00+04:00,36.0,pm25
2025-01-14T00:00:00+04:00,2025-01-15T00:00:00+04:00,30.8,pm25
2025-01-15T00:00:00+04:00,2025-01-16T00:00:00+04:00,29.4,pm25
2025-01-16T00:00:00+04:00,2025-01-17T00:00:00+04:00,35.8,pm25
2025-01-17T00:00:00+04:00,2025-01-18T00:00:00+04:00,29.0,pm25
2025-01-18T00:00:00+04:00,2025-01-19T00:00:00+04:00,9.49,pm25
2025-01-19T00:00:00+04:00,2025-01-20T00:00:00+04:00,10.4,pm25
2025-01-20T00:00:00+04:00,2025-01-21T00:00:00+04:00,13.1,pm25
2025-01-21T00:00:00+04:00,2025-01-22T00:00:00+04:00,11.3,pm25
2025-01-22T00:00:00+04:00,2025-01-23T00:00:00+04:00,24.5,pm25
2025-01-23T00:00:00+04:00,2025-01-24T00:00:00+04:00,35.6,pm25
2025-01-24T00:00:00+04:00,2025-01-25T00:00:00+04:00,42.2,pm25
2025-01-25T00:00:00+04:00,2025-01-26T00:00:00+04:00,31.0,pm25
