,sensor_10141004,sensor_10141005,sensor_10141009,sensor_10141011,sensor_10141012,sensor_10141013,sensor_10141015,sensor_10141016,sensor_10141017,sensor_10141018,sensor_10141019,sensor_10141020,sensor_10141021,sensor_10141023,sensor_10141026,sensor_10141029,sensor_10141030,sensor_10141032,sensor_10141033,sensor_10141035,sensor_10141037,sensor_10141038,sensor_10141039,sensor_10141040,sensor_10141046,sensor_10141047,sensor_10141048,sensor_10141049,sensor_10141051,sensor_10141053,sensor_10141055,sensor_10141056,sensor_10141057,sensor_10141058,sensor_10141060,sensor_10141064,sensor_10141066,sensor_10141067,sensor_10141068,sensor_10141070,sensor_10141071,sensor_10141073,sensor_10141074,sensor_10141075,sensor_10141078,sensor_10141080,sensor_10141082,sensor_10141085,sensor_10141088,sensor_10141093,sensor_10141823,sensor_10141825,sensor_10803457,sensor_10803458,sensor_10803459,sensor_10803460,sensor_10803461,sensor_10809288,sensor_11634797,sensor_11634798,sensor_11635462,sensor_11635464,sensor_11635465,sensor_11635466,sensor_11635468,sensor_11635469,sensor_11664072,sensor_12177988,sensor_2087379
2025-12-09 00:00:00+04:00,96.0,115.9,87.7,117.2,21.7,112.3,103.6,114.0,136.2,94.9,62.5,104.8,120.0,53.2,155.5,94.8,86.5,81.9,182.1,91.8,110.6,104.8,87.6,9.4,99.2,108.9,68.9,469.5,138.6,151.9,149.2,99.7,112.7,140.9,96.8,113.5,112.7,120.0,148.3,137.9,169.4,98.8,93.2,95.7,171.1,72.5,155.0,118.0,587.5,110.5,54.2,179.3,83.9,145.7,122.7,137.6,110.4,118.6,110.4,126.8,91.7,109.2,80.4,90.4,103.1,91.3,110.0,122.5,41.4
2025-12-10 00:00:00+04:00,75.3,98.5,93.2,107.3,19.1,103.5,96.0,97.7,121.0,89.0,53.9,105.7,116.8,44.8,150.9,86.2,73.1,70.8,100.4,82.1,97.9,97.4,71.1,8.6,89.9,100.2,64.6,380.9,118.1,134.1,125.6,89.3,104.4,126.6,89.8,109.8,106.3,102.7,143.9,130.0,149.7,88.6,76.6,91.3,156.7,68.9,144.3,109.4,541.4,95.1,49.2,153.5,76.2,137.6,104.4,111.1,90.8,106.4,104.1,106.2,84.0,99.2,75.7,74.3,94.3,77.0,92.7,111.5,30.4
2025-12-11 00:00:00+04:00,82.7,111.7,106.2,114.3,23.3,114.7,102.9,111.6,143.7,96.1,60.5,115.5,136.1,53.5,130.9,90.9,85.1,80.7,58.7,94.5,110.8,107.4,93.4,11.1,101.6,112.4,70.2,467.3,140.1,152.8,144.6,100.8,112.8,136.3,93.2,121.7,112.7,112.7,162.6,134.1,167.0,95.5,89.3,96.1,170.7,70.4,158.8,116.8,613.0,101.8,41.9,168.1,82.7,147.5,126.9,124.2,107.0,112.7,108.1,118.3,96.0,111.0,81.0,77.0,104.8,86.9,97.7,126.1,26.8
2025-12-12 00:00:00+04:00,97.3,128.9,128.9,138.5,28.0,144.7,127.2,134.6,172.4,113.2,73.1,137.4,168.1,69.4,162.6,108.9,97.6,101.6,58.5,112.3,136.6,129.8,122.6,13.1,122.6,131.4,83.5,445.8,164.5,186.2,174.9,121.4,146.2,160.8,111.1,154.0,135.2,135.0,187.8,159.2,203.1,117.1,104.3,117.9,199.6,84.8,186.2,141.2,637.5,116.5,43.0,199.0,97.2,153.9,150.3,146.1,134.0,137.0,130.2,146.2,114.4,133.8,93.3,90.3,122.0,104.2,119.1,146.1,24.3
2025-12-13 00:00:00+04:00,87.2,118.1,126.5,131.5,27.2,142.8,119.6,133.4,155.2,105.1,68.7,130.0,169.6,63.7,137.9,101.9,90.1,88.3,25.6,101.8,123.5,123.3,119.6,13.6,116.1,125.1,78.3,305.0,154.8,183.8,171.0,114.9,142.6,147.2,102.6,146.1,129.0,126.1,181.3,154.2,193.6,115.5,95.7,109.4,194.6,74.8,176.9,132.7,584.9,106.3,44.6,193.7,89.7,139.4,141.9,136.5,129.0,128.2,128.8,138.1,109.1,126.4,87.8,82.5,112.1,95.6,112.3,135.1,26.6
2025-12-14 00:00:00+04:00,83.0,111.3,119.7,124.9,27.1,132.7,110.2,130.4,144.4,96.0,65.7,121.0,157.9,60.3,128.5,93.2,87.1,80.5,35.6,94.5,115.1,117.3,117.5,14.3,106.5,119.3,75.0,239.7,146.3,175.9,166.9,105.3,131.5,138.9,96.2,135.6,118.3,119.0,173.9,142.1,184.2,109.2,91.0,101.4,187.0,63.6,170.2,123.5,583.5,99.9,44.4,190.8,82.3,125.7,136.8,129.6,124.0,118.8,124.3,127.4,103.7,119.7,82.9,78.4,104.1,90.8,107.1,127.9,28.5
2025-12-15 00:00:00+04:00,83.5,109.9,117.0,122.7,27.0,129.2,108.2,128.3,141.8,93.7,65.2,117.1,150.9,60.3,148.0,92.0,85.7,79.9,57.5,93.1,114.5,116.3,117.3,14.5,103.2,117.0,75.5,221.0,140.5,170.9,164.6,102.4,128.6,138.9,96.2,134.5,115.4,116.1,170.0,137.8,181.4,106.9,89.2,101.8,181.8,61.3,168.0,122.1,566.3,98.2,47.3,190.3,80.5,118.0,132.7,127.9,121.4,115.5,124.4,123.3,101.5,117.9,81.9,78.9,102.0,90.1,106.5,125.5,29.9
